ORF	T0.0	T0.5	T1.0	T1.5	T2.0	T2.5	T3.0	T3.5	T4.0	T4.5	T5.0	T5.5	T6.0	T6.5
YIL044C	0.2670	-0.4700	-0.2680	-0.1580	-0.1160	-0.2960	-0.3960	-0.3180	-0.5130	-0.5580	-0.2810	-0.0450	-0.4110	-0.4180
YHR035W	-0.2300	-0.1380	-0.5650	-0.2530	-0.1340	-0.4150	0.1260	-0.1730	-0.6570	0.2070	-0.4650	0.8540	-1.7400	0.0780
YOL014W	-0.1940	-0.8230	-0.3630	-1.1690	-0.5010	-0.3600	-0.3660	-0.3810	-0.9850	-0.5790	0.0890	-0.7850	0.9380	-0.5020
YOR315W	-1.6830	-1.4000	-1.1260	-1.1530	-1.1120	-0.2760	0.2540	0.3910	0.5070	1.0080	0.9250	0.6240	0.2480	0.1540
YAL067C	-1.5155	-0.0670	-0.5515	-0.0015	0.0055	-0.2280	-0.4200	-0.4760	-0.5740	-0.4590	-0.3990	-0.3415	-0.5890	-0.5650
YHR105W	0.6630	0.0290	-0.0280	0.0770	0.4990	0.1110	-0.0620	-0.1880	-0.0540	-0.0230	0.0240	-0.0510	-0.7660	0.3730
YKL198C	0.9940	0.8590	-0.1650	-0.0200	0.0730	-0.4080	-0.1810	-0.2140	-0.1600	-0.3890	-0.4890	-0.3550	-0.3630	-0.3300
YOR363C	-0.0420	-0.2980	-0.0350	-0.0350	-0.2180	-0.0910	0.1000	-0.1870	0.0450	0.1080	-0.1200	0.2240	-0.1050	-0.0410
YDL200C	0.2970	0.5310	0.4390	-5.6160	0.0060	-0.2990	0.0630	-0.1440	-0.1960	0.0750	0.1170	-0.2640	-0.0900	0.1830
YKL113C	-1.8870	-0.9850	-0.6830	-0.1410	0.4150	0.6340	0.4650	0.0490	0.1370	-0.0160	-0.0430	-0.2100	-0.4260	-0.2820
YLL049W	-0.2400	0.1960	0.1220	0.2390	0.1530	0.2940	0.0790	-0.4370	-0.3459	-0.1120	0.1260	-0.2700	-0.4480	-0.0570
YKL014C	-1.0905	-0.1070	-0.3610	0.2475	0.2120	0.1080	0.2635	-0.0380	-0.2850	0.1790	-0.2400	-0.0605	-0.4060	-0.0595
YMR193W	0.2050	-0.4100	-0.2850	0.1110	0.2340	0.1320	0.1230	-0.0780	-0.0230	-0.1460	0.2940	-0.0640	-0.1040	-0.3390
YHR043C	0.0330	1.2190	-0.4730	-0.6860	-0.4010	-0.3070	-0.0870	-0.1450	-0.2580	-0.5710	0.1700	0.0370	-0.2870	-0.3330
YLL041C	0.3260	0.6440	0.6670	0.4950	0.3070	0.3350	0.0840	0.6300	0.5440	0.6230	0.2610	0.6840	0.5660	0.6630
YBR027C	-0.0875	-0.2295	-2.1390	-0.4650	-0.0555	-0.0075	0.0590	-0.1930	-0.0865	-0.0910	0.1255	-0.2845	-0.1675	-0.2180
YIL067C	-0.2710	-0.2140	-0.1520	-0.2240	0.0160	-0.0660	-0.0570	0.2990	-0.1930	0.4580	0.1810	-0.4200	0.1160	0.3590
YCR049C	0.1520	1.0210	-0.6320	0.1040	0.1720	0.2430	0.4710	-0.0920	0.4490	0.3100	0.2580	0.5340	-0.7990	-0.1140
YDL130W	-0.5620	-0.1070	0.4935	0.5445	0.3890	0.6520	0.7795	0.6760	0.6265	0.5910	0.5755	0.3180	0.3040	0.1760
YMR184W	-0.1970	-0.0480	-0.1100	-0.0160	-0.2710	-0.1420	0.0370	-0.1680	-0.0270	-0.1320	0.2670	0.1380	-0.0420	0.0590
YPR064W	-0.0380	-0.5270	-0.3710	-0.3280	-0.3940	-0.4110	-0.1380	-0.2890	-0.3430	-0.4960	-0.2140	-0.5920	-0.2890	-0.4940
YMR226C	0.2720	0.2590	0.3490	0.1540	0.3400	0.3130	-0.0130	0.4210	0.2170	0.2880	0.4230	0.3480	0.4250	0.6520
YJL093C	0.4910	-0.0290	-0.0500	0.2370	-0.2510	-0.1090	0.0660	0.0720	0.2570	0.2590	0.0970	0.3400	0.2640	0.1260
YBR146W	-0.3420	-0.8845	-0.2785	0.2489	-0.2980	0.1948	1.3630	1.0165	0.0725	-2.5320	-0.0940	0.3849	1.6881	0.0545
YPR092W	0.4180	-0.1060	-0.0220	0.1520	-0.0720	-0.1940	0.0390	-0.1940	-0.0700	-0.2690	0.1880	0.0220	-0.2050	-0.0640
YGR175C	-0.5040	0.4180	0.3150	0.6990	0.6600	0.3720	0.0710	-0.0060	-0.2140	0.1050	0.1840	-0.2050	-0.2730	-0.1900
YHR030C	0.3800	0.2510	0.0170	0.1440	-0.0340	0.2140	0.2130	0.1660	-0.1270	0.3500	0.0650	0.1350	0.3460	0.1870
YMR318C	-1.5730	-0.2390	-0.0780	0.3840	0.5340	0.6450	0.3490	0.5480	0.2840	0.3180	0.2300	0.4200	-0.0490	0.3560
YOR379C	-0.2765	-0.2580	-0.4620	0.1510	-0.2155	-0.3365	-0.2315	-0.2620	0.0755	-0.1745	-0.4300	-0.1445	0.2930	-0.2490
YCL010C	0.3030	-0.0570	0.2260	0.5790	0.0990	0.0570	0.2000	0.2030	-0.0080	-0.2600	0.1130	-0.1690	-0.0450	0.0560
YOL154W	0.4460	-0.4470	0.2010	0.1330	0.0820	0.1990	0.0690	-0.0920	-0.0270	-0.1380	0.0280	-0.0160	0.0580	0.0230
YKL003C	0.8060	-0.0420	-0.2850	0.2390	-0.0290	-0.1770	0.2170	0.1430	-0.0770	-0.3350	0.3770	0.0270	-0.3370	-0.1430
YNL149C	-0.6990	0.5380	0.1040	0.1410	0.2080	0.5470	0.1120	0.2570	0.0180	0.2920	0.3750	-0.0400	0.0580	0.2670
YLR194C	-1.0450	0.0450	-0.9220	0.3140	-0.5550	-0.7650	-0.1110	0.0600	-0.1100	0.4990	0.4310	0.6890	1.7890	0.5680
YCR066W	0.7680	0.2250	0.3610	0.0510	0.0700	-0.3360	0.2370	-0.2380	-0.1860	-0.0960	0.3970	-0.3410	-0.3160	0.1020
YMR007W	0.1200	0.3000	-0.2060	-0.5590	-0.5370	-0.4640	-0.2830	-0.4020	-0.4060	-0.7900	-0.0290	-0.2100	-0.1410	-0.4980
YGR179C	0.3260	-0.2060	0.2010	0.0170	0.1070	0.0840	0.3130	0.0000	-0.2640	-0.1800	0.1310	-0.6200	-0.6980	-0.0820
YLL012W	-3.0170	0.3900	-0.5090	0.3710	0.2780	0.2540	-0.2170	-0.4590	-0.3260	-0.5290	-1.0000	-0.6720	-0.5450	-0.8070
YGR023W	0.4900	0.1020	-0.0600	-0.0090	0.0740	-0.0970	0.0550	0.1630	0.0230	-0.1560	0.1100	0.0110	-0.0340	0.1480
YDR313C	0.3200	-0.0350	0.0200	0.2720	0.1720	-0.0670	-0.0980	0.2690	-0.0070	0.0720	0.0470	-0.0690	-0.0360	0.2870
YGL125W	0.2150	0.1570	-0.3720	-0.2770	-0.5250	-0.7830	-0.3180	-0.2220	0.0840	0.0100	-0.0100	0.4290	0.4500	-0.2230
YNL038W	-0.1140	-0.4360	-0.0250	-0.3440	-0.3480	-0.1750	-0.6020	-0.2070	-0.2180	-0.3810	0.1280	-0.0210	-0.3250	-0.3200
YML099C	-0.6420	-0.3410	-0.0590	0.2840	0.1050	0.1220	-0.0400	-0.0430	1.1180	0.4180	-0.1390	0.4400	0.7100	0.1850
YOR306C	-0.6150	-0.4790	-0.7020	-0.2820	0.0740	0.2230	-0.1210	0.2280	0.2860	0.3330	-0.4200	-0.3810	0.2380	0.0950
YJR009C	0.5400	0.3680	0.7400	1.0400	0.8540	0.3140	0.3440	-0.0650	0.2260	0.1560	-0.0440	0.4530	0.6880	0.7900
YPR044C	-0.4990	-0.3890	0.1890	0.1800	0.1730	0.2110	0.1530	0.1890	0.3090	0.2580	0.2020	-0.0690	-0.0910	-0.2100
YLR178C	1.3410	0.6370	-0.0430	-0.1880	-1.1000	-1.4500	-1.2350	-0.5490	0.3210	-0.7620	-1.2160	0.5970	1.0580	0.3550
YML058W	-0.6700	-0.8730	-0.6650	-0.9870	-0.6410	-0.8960	-0.3010	0.0600	0.3620	-0.0710	0.2540	0.0550	-0.1240	-0.2200
YEL005C	1.4880	0.5860	0.6580	0.2670	0.2500	0.1080	0.1930	-0.6010	-0.6780	-0.3450	0.2480	-0.5610	-0.6160	0.0800
YOL135C	0.3610	0.0780	-0.3420	-0.4950	0.0740	0.2400	0.0750	0.0390	-0.0350	-0.1740	-0.1060	0.0350	0.2560	-0.1910
YDR289C	0.3910	-0.1460	-0.4930	-0.0490	-0.1980	-0.3000	-0.2410	-0.1100	-0.1080	-0.1940	-0.3180	-0.1380	0.2010	-0.1110
YGL237C	0.5330	0.2600	-0.0840	-0.2940	-0.2040	-0.3150	-0.1090	-0.1020	0.1580	-0.2440	-0.2380	-0.0950	0.0280	-0.2770
YFR044C	0.4700	-0.1440	0.3570	0.2780	-0.1880	0.0840	0.3770	0.2310	0.2770	0.1030	-0.0410	0.5050	0.3300	0.4290
YLR056W	-1.0460	0.8880	0.1610	0.2790	0.5300	0.2950	0.2020	0.0790	-0.1080	0.4680	0.3060	-0.2270	-0.3790	0.4400
YHR181W	-0.2430	-0.1620	-0.1930	-0.3990	-0.0830	-0.2910	-0.0320	-0.2320	-0.1570	-0.2030	0.1060	0.1380	-0.3740	-0.2540
YNL290W	-0.4630	-0.4540	-0.4170	0.0630	0.1500	0.1840	0.2940	0.3150	-0.0470	-0.0480	0.0120	0.0160	-0.4760	-0.1610
YMR250W	2.0750	0.2530	0.0870	-0.0580	-1.2940	-1.5400	-1.3450	-0.7140	-0.3100	-1.1010	-1.1240	0.1170	0.6420	0.2880
YOL129W	-0.0240	-0.2590	-0.6010	-0.6770	-0.6400	-0.7610	-0.6740	-0.3000	-0.0280	-0.1360	-0.4300	0.2840	0.1190	-0.0750
YPR052C	-0.2400	1.4250	-0.4810	0.3140	-0.3750	-0.4190	-0.3530	-0.5560	-0.1260	-0.2450	-0.5350	-0.0790	-0.1750	-0.1440
YOR032C	1.0570	-0.3160	-0.1570	-0.1600	-0.2810	-0.2670	-0.1180	-0.5830	-1.3690	-0.6460	-0.3760	-0.4250	0.6110	-0.1260
YER050C	0.6630	0.1580	0.3380	-0.2350	0.2820	0.2540	0.3550	0.1780	0.0030	0.1030	0.4060	-0.0160	0.0780	-0.1080
YPL160W	-1.4590	-0.1385	-0.0860	0.2770	0.3255	0.3590	0.1095	0.2920	0.1580	0.4215	0.0755	0.0055	0.3290	-0.0115
YIR036C	1.2370	0.4640	0.5880	0.2310	-0.2550	-0.2560	0.0130	0.0440	-0.0130	-0.1760	-0.0380	0.2840	0.6350	0.4340
YIL121W	-0.9420	-0.8860	-0.9290	-0.6190	-0.0550	0.0920	-0.1110	0.1040	-0.2960	0.0340	0.1270	0.5760	-0.5330	-0.1080
YPL019C	-1.2850	0.2840	-0.0250	0.3770	0.5880	0.2730	0.0360	-0.5370	-0.5290	-0.5090	-0.0690	-0.1890	-0.8030	-0.6990
YFL042C	0.9130	0.5170	0.6230	0.1400	-0.1130	-0.1300	0.1710	0.3650	0.3140	0.2670	0.0870	0.0810	0.2820	0.9190
YHL043W	0.2450	-0.0920	-0.6270	-0.1200	-0.4130	0.2620	-0.1550	-0.7040	-0.5720	-0.9160	-0.1550	-0.4500	-0.7620	-0.8710
YJL111W	0.3120	0.2550	0.2310	0.6810	0.5210	0.5900	0.4990	-0.5660	-0.1610	0.2160	0.4350	0.0340	-0.2390	-0.0460
YKL170W	0.6000	0.0660	-0.1350	0.6280	0.2170	0.1890	0.0110	0.1070	0.0620	0.0010	0.3040	0.2130	-0.0650	0.2610
