ORF	T0.0	T0.5	T1.0	T1.5	T2.0	T2.5	T3.0	T3.5	T4.0	T4.5	T5.0	T5.5	T6.0	T6.5
YDL025C	1.1710	0.0510	0.1280	0.4700	0.1220	-0.3750	-0.0880	0.0500	-0.0960	-0.2410	-0.1720	-0.0180	-0.4000	0.0480
YKL032C	0.3060	0.2520	-0.2240	-0.2210	-0.1440	-0.0460	0.2820	0.0460	0.1690	0.0010	-0.1750	0.2540	0.0550	-0.1530
YJR150C	0.1690	0.1630	-0.3000	-0.3330	0.3050	0.2390	0.2370	0.0870	-0.0420	0.0490	0.3430	-0.2480	-0.3680	0.2430
YNL325C	0.3110	0.0750	-0.0480	-0.1910	-0.0240	0.1780	0.0890	-0.6580	-0.5593	-0.0080	-0.0260	-0.5980	-1.1160	-0.0640
YER048C	0.7950	0.4180	0.3970	0.4110	0.0920	0.1210	0.2260	0.2550	0.1070	-0.0650	0.3650	0.0800	0.2830	0.2230
YPR097W	0.1380	0.0530	-0.0540	0.2590	0.1830	0.0140	0.7020	-0.0990	-0.2320	0.3360	0.0960	-0.0060	-0.3870	-0.1180
YNL098C	1.1110	-0.0670	0.0170	-0.2420	-0.5580	-0.1860	0.2190	0.5530	0.3000	-0.0620	0.4010	0.5640	0.3080	0.3500
YJL166W	1.7410	0.7140	0.7210	0.2410	0.4610	0.4330	0.3150	0.3260	0.0840	0.1970	0.5490	0.4860	0.1010	0.4260
YCR014C	0.3660	0.1150	0.2580	-0.1400	0.2360	-0.1520	-0.0420	-0.3710	-0.4720	-0.7210	-0.1070	-0.5210	-0.4240	-0.0710
YDR006C	0.8190	0.1670	0.1020	0.2410	0.0330	0.2960	-0.1420	0.1910	0.1620	0.3360	0.0970	-0.1470	0.0630	0.3600
YOR291W	-0.8090	0.3340	0.4320	0.1290	-0.1200	-0.1430	0.2110	0.1140	0.0630	0.1060	-0.3450	0.2810	-0.2040	0.0920
YGL215W	0.7450	-0.1180	-0.1625	0.1630	0.0030	-0.3235	-0.2455	-0.4795	-0.3565	-0.4715	-0.3630	-0.5365	-0.2305	-0.2935
YMR027W	0.5560	-0.0840	-0.3800	-0.3000	-0.2840	-0.4170	-0.4150	-0.2090	0.4150	-0.2370	-0.4950	0.4910	0.2400	0.0480
YBR111C	0.8580	0.3005	0.2445	0.3210	0.0870	-0.0820	-0.0140	0.0255	-0.0200	-0.2525	-0.1385	0.2690	0.2090	0.3490
YMR046C	0.8320	0.4980	0.5090	0.6340	0.3010	0.3240	0.0820	0.0550	0.0500	0.1870	0.2300	0.2880	-0.1490	0.5020
YJR030C	-0.7550	-0.9330	-0.5700	-0.1700	0.2950	-0.1910	-0.2250	-0.2250	-0.4480	-0.3410	-0.4800	-0.5670	-0.7750	-0.2260
YJL200C	-1.8460	-0.1670	-0.1130	0.3490	0.9510	0.9070	0.3060	0.4420	0.1320	0.3020	0.1030	-0.4640	-1.0780	-0.5710
YLR159W	0.4230	-0.4200	-0.7080	-0.9410	-0.4780	-0.5740	-0.2990	-0.0970	-0.2430	-0.3630	-0.5920	-0.2800	-0.2850	-0.4560
YFL066C	-0.6190	0.6530	0.4790	0.4580	0.6180	0.8280	0.6970	0.7020	0.3340	0.4410	0.4040	0.2430	0.2000	0.5230
YBR023C	-0.9110	-0.3475	0.8680	0.2680	0.3065	0.5400	0.8775	0.3580	0.2405	0.4895	0.3565	0.4865	-0.0785	0.2045
YEL049W	-0.1580	-0.0610	0.1250	0.0830	-0.0230	-0.0560	0.1550	0.0090	-0.2350	-0.2840	-0.0720	0.0610	0.0240	-0.0050
YER101C	0.6430	0.2840	0.0310	0.0580	0.0520	-0.0190	-0.2940	0.0530	0.0010	-0.0500	0.1940	-0.0960	-0.0360	0.2770
YGL017W	0.1550	-0.1400	-0.3960	-0.2770	-0.1800	-0.4020	-0.1700	0.0250	-0.0930	-0.1380	0.0760	-0.2200	-0.1740	0.0170
YLR220W	-0.1550	0.1070	0.5920	0.3420	-0.0680	-0.0650	-0.0060	0.5480	0.4530	0.1760	0.0170	0.1630	0.3870	0.2230
YPR010C	-0.4340	-0.3010	-0.3120	0.0910	-0.3220	-0.5120	-0.6420	-0.5500	-0.1000	0.0510	-0.5410	-0.1860	-0.1120	-0.3250
YJL143W	-0.4080	-0.5890	-0.2120	-0.2790	-0.2620	-0.2220	-0.1890	0.2290	0.3640	0.0910	0.2450	0.5910	0.2050	0.3430
YOR150W	0.4990	-0.9570	0.0940	0.2000	0.2910	0.1460	0.0320	0.2470	0.2910	0.1570	0.4710	0.0670	-0.3140	0.4480
YBR164C	-0.4315	-0.3880	-0.2615	0.1170	-0.0235	-0.2035	-0.0735	0.0365	-0.1335	-0.2990	-0.0225	-0.1710	-0.2075	-0.1760
YPL213W	0.6610	-0.3940	-0.1180	0.4990	0.4450	0.0010	-0.2150	-0.5210	-0.5670	-0.6730	-0.1750	-0.7990	-0.5660	-0.4940
YDL136W	-0.7745	-0.1075	0.1085	-0.0105	0.4170	0.3985	-0.0575	0.1675	0.0530	0.0390	-0.0070	-0.1245	-0.2975	-0.2610
YJL031C	0.4490	0.0890	-0.1610	-0.2560	-0.2620	-0.1060	-0.3940	-0.0860	-0.0980	-0.5060	0.0040	-0.0520	-0.0080	-0.1220
YDR522C	-0.6590	-0.2860	-0.1660	-0.1200	-0.2560	-0.6620	-0.0940	-0.1890	-0.1210	0.0900	-0.0880	-0.6810	-1.0990	-0.2170
YKL010C	-0.2570	0.0140	-0.3010	-0.2400	-0.1300	-0.3470	-0.4020	-0.0920	0.1410	0.0310	-0.1800	0.1090	0.1130	-0.2890
YPR153W	-0.4080	-0.5642	-1.1185	-0.9005	-0.1880	0.2495	0.0530	-0.2935	0.6500	-0.9305	-0.4625	-0.1945	-0.4410	-0.4550
YGR293C	-0.5490	-0.0640	-0.2890	-0.4230	-0.1140	-0.2260	-0.4780	-0.2400	-0.2760	-0.5270	-0.1600	-0.4070	0.5260	-0.3010
YER152C	0.6090	0.3840	0.0090	0.3220	-0.0410	0.1700	0.2740	0.0110	-0.0040	-0.0870	0.1970	0.5750	0.2670	0.8920
YLR068W	-1.0950	-0.3300	0.1710	-0.6080	0.1280	0.1910	-0.1820	-0.1520	-0.6490	-0.0190	0.2350	-0.5920	-0.3670	-0.0160
YGR203W	-0.0080	0.3340	0.2710	0.2770	0.2180	0.3160	0.2470	0.4000	0.1420	0.5140	0.2350	0.1940	0.5320	0.5420
YMR030W	-0.1190	-0.4590	-1.1460	-0.7070	-0.3560	-0.7980	-0.5070	-0.0090	0.0410	-0.4300	-0.3380	-0.0350	0.2470	-0.3000
YMR093W	-0.9580	-0.7320	-0.7170	0.0940	0.4740	-0.0990	-0.1960	-0.3670	-0.4030	-0.0580	-0.5290	-0.7120	-0.6100	-0.5480
YBL107C	0.0010	0.0140	-0.3040	0.1475	0.2035	0.2890	-0.1140	0.0525	0.0080	-0.1315	0.2980	0.0840	-0.6035	0.0495
YDR423C	1.4250	0.0450	0.0140	-0.2410	-0.2830	-0.3180	-0.3220	-0.3340	-0.1780	-0.4520	-0.2230	0.1880	-0.1440	0.0860
YFL057C	-0.7410	-0.3220	-0.1140	-0.0955	-0.1535	-0.6060	-0.1360	-0.2270	0.0780	0.0595	-0.2845	0.0025	0.3270	-0.1330
YAL034C	0.0437	0.1530	-0.0277	-0.5933	-0.1700	-0.1650	0.0297	-0.0857	0.2453	-0.2333	-0.2693	-0.1293	-1.6570	-0.0370
YBR006W	0.1795	0.2220	-0.8150	0.3035	-0.2470	-0.6515	-0.3225	-0.1960	0.1645	-0.0775	-0.3175	0.5410	0.2025	1.1275
YNL036W	-2.2190	-0.6480	0.6850	0.3720	0.2390	0.2970	0.3890	0.1480	0.4160	0.3320	0.1010	0.7840	0.8450	0.7520
YBR167C	0.6895	0.1885	-0.0395	-0.1610	-0.0975	-0.2735	-0.0150	-0.2225	-0.3910	-0.2440	-0.0740	-0.4370	0.0480	0.0035
YDR302W	0.0360	-0.3440	-0.2280	-0.4610	0.0630	0.3380	-0.0470	0.2550	-0.0020	-0.0070	0.4160	-0.0350	-0.3420	-0.0660
YDR128W	0.0875	0.5975	0.0700	0.1680	-0.0860	0.0385	0.1850	-0.0885	-0.0035	0.2435	0.0250	0.0625	-0.1940	0.2370
YGL139W	-0.2755	-0.1780	-0.1495	0.0975	-0.0935	0.0925	0.0830	0.0950	-0.0230	0.0690	0.1050	0.0770	-0.1810	-0.0845
YHR097C	2.2130	0.2720	0.4040	-0.1240	-0.7120	-0.5300	-0.3360	0.1280	0.0500	-0.2270	-0.2090	0.3790	0.3750	0.4090
YDR202C	0.9950	-0.1380	0.2030	-0.3590	-0.3360	-0.6010	-0.4170	-0.1050	-0.2760	-0.5020	0.0270	-0.1710	0.0110	-0.0170
YGR246C	0.8300	-0.1360	-0.3290	-0.3910	-0.4110	-0.3700	-0.3510	-0.1020	-0.0890	-0.2250	-0.3490	0.0130	0.2360	-0.1510
YGR171C	-0.0200	-0.1120	-0.3550	-0.0770	-0.2060	-0.0760	-0.2550	-0.2040	-0.0160	-0.3550	0.0750	-0.0260	-0.4840	-0.0690
YER054C	0.3230	0.1510	-0.5415	-0.0690	-0.9435	-1.0380	-0.0570	-0.3920	-0.4805	-0.8655	-0.7735	0.1065	0.9860	-0.2425
YPL242C	-1.7330	-1.8245	-1.2560	-1.1015	-1.1055	-0.7540	-0.1735	-0.0215	0.5875	0.6910	0.4105	0.3250	0.1565	-0.0675
YJL028W	0.2090	-0.2120	-0.1480	-0.5540	-0.5060	-0.5850	-0.2820	-0.4440	-0.1770	-0.3900	-0.4440	-0.4340	-0.0820	-0.4810
YOR127W	-0.9040	-0.2870	-0.2340	-0.0320	0.1520	0.0070	0.0290	-0.0050	0.5730	0.5310	-0.0090	0.2270	0.8740	0.0270
YGL081W	0.2940	0.2000	0.2800	-0.0140	0.0660	-0.1800	-0.3570	-0.1790	-0.7550	-0.5460	-0.0550	-0.0640	-0.1650	-0.2760
YJL084C	0.5620	-0.0840	-0.3110	-0.2620	-0.2790	-0.3470	-0.4110	-0.6200	-0.2580	-0.1650	-0.3790	0.3060	-0.0920	0.0880
YJL074C	-1.7670	-1.1130	-0.6450	-0.4710	0.1400	0.4520	0.3190	-0.0020	-0.1980	-0.1450	-0.0810	-0.6130	-1.0920	-0.2390
YKL094W	0.9300	0.1360	0.3460	0.1620	-0.2650	-0.0530	-0.0480	0.3170	0.4380	0.2530	0.0010	0.4630	0.2470	0.2180
YLR055C	-0.0400	0.0330	0.1820	0.2580	-0.0160	0.2040	0.2430	0.1920	0.3040	-0.0150	0.1460	0.4070	0.2740	0.0680
YFL045C	-0.5990	-0.5340	-0.0950	0.3500	0.6410	0.8630	0.8160	0.4710	0.1950	0.1350	0.4580	-0.0190	-0.5020	-0.3840
YBR297W	-0.6430	0.4100	0.0700	0.0910	0.3810	0.1350	-0.1520	0.0230	-0.0860	-0.2950	0.2840	0.0260	-0.1640	-0.0750
YOL155C	2.0350	-0.1340	-0.1610	-0.3830	-0.1580	-0.6830	-0.6720	-0.3130	0.2200	0.0620	-0.5080	0.2000	0.2160	-0.1630
YDR033W	-0.5080	-0.0770	0.2710	0.0800	-0.2210	-0.6190	-0.4480	-0.3840	0.3100	0.3460	0.7390	0.6040	0.3160	0.3320
YPL124W	0.0840	-0.9450	-0.4270	-0.2810	0.1590	0.2130	0.0670	-0.0670	-0.1520	-0.5260	0.0690	-0.3460	-0.4990	-0.2540
YGR271C-A	-0.1270	-0.0130	-0.1350	0.4230	0.7320	0.3090	0.0800	-0.2430	-0.3850	-0.4740	0.0720	-0.9190	-0.5760	-0.7080
YGL162W	0.2930	0.4640	0.4490	0.3140	0.1500	0.1130	0.2720	-0.4410	-0.6740	-0.2130	-0.0080	-0.2900	-1.0480	-0.1340
YGR198W	-0.5940	0.0730	-0.5490	-0.2590	-0.0680	-0.2320	-0.0830	-0.2560	-0.0460	0.0760	0.0760	0.2460	-0.4780	-0.3080
YMR227C	0.2630	0.0130	0.1940	0.2090	0.1300	0.1060	0.0630	0.0370	-0.2120	-0.0420	-0.1260	-0.0720	-0.0520	-0.1020
YDL006W	0.7320	0.2320	0.2050	-0.8850	0.2150	0.0190	0.2640	-0.1710	-0.1640	-0.1450	0.1340	-0.0870	-0.2900	-0.1580
YLR431C	-0.6540	-0.3530	-0.1420	-0.3290	-0.2150	-0.1960	-0.2730	-0.0660	-0.2110	-0.2550	-0.3330	0.1120	0.4490	-0.0140
YBR265W	-0.3440	0.3240	0.3400	0.4650	0.0710	0.4630	0.5500	0.6450	0.4970	0.6940	0.3990	0.4280	0.3310	0.5890
YJL057C	1.2370	-0.2690	-0.2110	-0.3590	-0.6280	-1.1030	-0.9430	-0.7510	-0.6830	-0.9250	-0.9050	-0.4090	-0.4410	-0.5800
YMR272C	0.5750	-0.0610	-0.0680	-0.3700	-0.0350	-0.0980	0.2650	0.2630	0.0540	-0.2580	0.0060	0.0780	-0.2380	0.0330
YHR176W	0.2800	0.2580	-0.2670	-0.2540	-0.0400	-0.2270	-0.0310	-0.1110	0.0720	-0.2450	0.0610	0.0680	0.1930	0.0660
YBR063C	-0.5500	-0.1345	-0.5910	-0.0925	-0.1660	-0.2420	-0.4600	-0.6440	-0.3970	-0.5280	-0.2910	-0.5720	-0.2065	-0.4060
YAL010C	0.7950	0.5910	0.0885	-0.2495	-0.2725	-0.1320	0.3305	-0.2350	-0.2880	-0.1305	-0.0100	-0.1815	0.7330	0.0260
YLL060C	0.1490	0.6840	-0.0930	0.6140	0.3520	-0.0040	0.3050	0.3160	-0.1820	-0.3410	-0.1020	-0.1550	-0.4220	-0.2400
YIL124W	1.3510	0.5890	0.5410	0.0380	-0.5180	-0.4790	-0.4450	0.1650	0.2770	0.0650	0.0320	0.3690	0.8120	0.6720
YMR020W	0.8890	-0.1540	-0.2150	0.0580	-0.1980	-0.2090	-0.0960	0.1410	0.1290	0.0570	-0.0920	0.0420	0.3230	0.3370
YOR239W	-0.2040	-0.5570	-0.4220	-0.1880	-0.1690	-0.0930	0.1620	-0.0150	0.0810	-0.1910	-0.0210	0.1390	-0.2230	-0.3150
YJR079W	0.5420	0.6180	0.2170	0.1660	0.1330	0.1280	0.0310	0.2760	-3.1640	0.2060	0.3640	0.3110	0.1630	0.3650
YLR024C	-0.1470	0.6590	-0.0990	0.4700	-0.1160	0.1630	0.1980	0.2860	0.1510	0.3670	-0.0510	0.2280	0.4130	0.2790
YNL251C	-0.8820	0.5965	-0.0040	0.4150	0.1695	0.2135	0.2455	0.1780	-0.0520	-0.0275	0.0500	0.1035	0.0025	0.2935
YGR054W	-0.5180	0.0160	-0.0320	0.4940	0.3440	0.1640	0.3160	0.0910	0.0270	-0.0140	0.1420	0.0230	-0.1530	-0.1580
YMR203W	-0.0540	-0.3390	-0.2250	-0.3190	-0.2730	0.1430	0.2900	0.5290	0.3550	0.6970	0.4860	0.6190	0.5920	0.4640
YML087C	-0.8980	0.0730	-0.0310	0.3180	0.2535	0.0380	-0.0220	0.2250	0.2420	0.0180	-0.0515	0.2110	-0.0225	0.1775
YLR186W	-1.8090	-0.5510	-0.5810	0.0550	0.3990	0.4530	-0.0180	0.5810	0.3630	0.3820	-0.2880	-0.7200	-0.0250	0.4120
YNL008C	0.0500	-0.2240	0.0040	-0.2290	-0.1820	-0.3110	0.3180	-0.2390	0.1066	0.1990	-0.3650	0.3620	1.6060	0.0050
YNL031C	-0.2470	-1.0120	-0.8370	-0.2380	0.4310	0.9480	1.2070	1.3890	0.8650	0.6120	0.6480	0.4340	0.1280	-0.2350
YBR130C	0.1615	-0.2755	-0.1460	-0.0735	-0.0445	-0.0195	-0.0125	0.1755	0.1625	-0.0025	0.0625	0.2395	0.1760	0.0600
YDL152W	-0.0020	0.3500	0.4270	-0.0060	0.7790	0.6000	0.5190	-0.0860	-0.2330	0.1580	0.3380	-0.6060	-0.6590	0.0050
YDR527W	-0.9860	-0.3510	-0.3630	0.0240	0.2490	0.1260	-0.2210	-0.2070	-0.1920	0.4640	0.0820	-0.2540	-0.0470	-0.1240
YGL004C	0.2500	0.1180	-0.4370	-0.3770	-0.5460	-0.5290	-0.5800	-0.1140	0.0800	-0.1230	-0.0320	0.7330	0.3180	0.2990
YOR318C	-0.0670	-1.8370	-0.2960	-0.7980	-0.1930	0.0060	-0.0210	-0.6930	-0.0660	0.1850	-0.0350	-0.6570	-1.0370	0.0180
YLR346C	0.6125	-0.3025	-0.6000	-0.5660	-0.5990	-0.6865	-0.9000	-0.5240	-0.2680	-0.7955	-0.2820	-0.3905	-0.3435	-0.4730
YML061C	-0.9280	-1.0540	-0.4700	-0.5950	0.0200	0.0710	0.0580	-0.0560	0.1180	0.2050	0.0500	-0.2380	-0.1880	-0.6130
YPL127C	-0.8755	-1.0680	-1.0285	-0.5720	0.0180	0.6470	0.7095	0.6840	0.6565	0.3700	0.4230	0.3130	-0.3985	-0.3735
YLL040C	-0.4025	-0.4465	-0.5240	-0.3335	-0.2450	-0.1890	-0.6330	-0.1995	-0.8835	-0.8095	-0.7935	-0.3680	-1.2530	-0.3355
YKR032W	0.0060	-0.1950	-0.0720	-0.0820	-0.1700	0.0740	-0.1220	-0.3020	-0.5030	-0.0760	-0.2010	-0.2340	0.0170	-0.1860
YPL182C	0.7150	0.8000	0.3670	0.2970	0.4480	0.5910	0.2570	0.4600	0.3500	0.4380	0.2080	0.2640	0.4150	0.3260
YFR036W	-0.1090	0.0350	-0.3080	-0.3290	-0.2050	-0.6720	-0.3150	-0.3410	-0.2200	-0.3590	-0.0590	-0.2380	-0.2610	-0.3560
YLR095C	0.0240	-0.3620	-0.0500	-0.0560	-0.0840	0.0340	-0.1690	0.0260	0.0860	-0.3160	-0.2160	-0.0990	-0.0730	-0.2640
YJL165C	1.9580	0.0250	0.1640	0.0850	-0.3570	0.0460	0.0440	0.0100	-0.2230	-0.3050	-0.0960	-0.0160	-0.0040	-0.1380
YDR162C	-0.0190	0.7340	0.0430	0.5760	0.1050	0.1000	0.2840	0.5170	0.1940	0.2630	0.0060	0.2380	0.3480	0.5930
YHR054C	0.9190	0.9520	0.3960	0.5160	0.5660	0.3860	0.1560	-0.0530	-0.3380	-0.2840	0.4880	-0.2920	-0.1600	0.1210
YJL125C	-0.5180	-0.1100	-0.4950	0.5510	0.6560	0.0730	0.0690	-0.0930	-0.0900	-0.1440	-0.1750	-0.5780	-0.2520	-0.3500
YNL338W	-0.1300	-0.6810	-0.6990	-0.7200	-0.3730	-0.8060	-0.5130	-0.4340	-0.2640	-0.4370	-0.6640	-0.3750	-0.6040	-0.4670
YDR482C	0.0920	0.4590	0.1510	0.1004	0.1110	0.2490	0.0730	0.0710	-0.1770	0.1040	0.4000	0.1250	0.0390	0.3080
YBL017C	-0.1590	0.3875	-0.0040	0.2735	-0.2670	-1.0795	0.1660	0.4305	0.5915	0.4965	-0.1095	0.2285	1.6185	0.3615
YDL043C	-0.2650	-0.2210	-0.4570	-0.0880	-0.0190	-0.5180	-0.3450	-0.4390	-0.4200	-0.2220	-0.2360	-0.1980	-0.2380	-0.3180
YPL043W	-1.6660	-0.4590	-0.2320	0.5140	0.7350	0.5350	-0.0610	-0.1450	-0.4150	-0.0440	-0.4510	-0.7000	-0.7070	-0.4300
YNL044W	-0.1420	-0.6800	-0.8000	-1.0690	-0.3630	0.0270	-0.1200	-0.0910	0.0670	-0.1480	-0.5220	-0.0890	-0.4640	-0.7200
YBL067C	-0.3425	-0.0765	-0.3975	-0.1465	-0.0360	-0.2638	0.1000	0.0725	0.0980	-0.4670	-0.2490	-0.1050	-0.1375	0.1215
YKL130C	-0.3225	-0.1580	-0.4630	-0.7050	-0.2280	-0.0610	-0.2620	-0.0460	-0.2890	0.2080	0.5270	-0.0400	-0.2950	0.2240
YNL339C	-0.8975	0.1835	-0.3280	-0.2910	0.1045	-0.2545	-0.0845	0.0730	0.1980	0.1685	-0.6605	0.0630	0.1510	-0.1100
YLR014C	-1.1550	-0.5450	-0.3510	-0.0230	0.3000	0.2470	-0.1220	-0.0080	0.0510	0.0730	-0.5340	-0.5710	-0.2280	-0.6760
YPL018W	-0.7750	0.5690	-0.1140	-0.0310	0.1170	-0.2780	-0.3900	0.0400	-0.3840	0.4070	-0.5650	0.2470	1.4140	0.3480
YLR356W	0.7800	0.6300	0.2010	0.1430	-0.3150	-0.4000	-0.1740	0.1180	0.1670	-0.0070	0.0890	0.0720	0.4780	0.6410
YIL156W	0.1870	0.1780	-0.2980	-0.0940	-0.3130	-0.1900	-0.2420	0.2470	0.2610	0.0280	-0.3440	-0.0150	0.4790	0.4040
YKL100C	0.6390	0.2510	-0.2350	-0.1350	-0.4550	-0.2990	-0.0540	-0.0110	-0.0440	-0.3180	0.0280	-0.0080	0.2490	0.1190
YIL165C	0.3490	0.0190	0.0580	-0.1660	0.1110	0.2410	-0.1770	-0.1220	-0.1430	-0.0520	0.1820	0.6760	0.2040	0.2540
YLR281C	0.3250	-0.2360	-0.4875	-0.3155	-0.5145	-0.8420	-0.5270	-0.7080	-0.5605	-0.7000	-0.9650	-0.3290	0.2055	-0.3720
YKL110C	-1.0620	0.3230	-0.2170	0.0300	0.0450	-0.3040	-0.2860	-0.2480	-0.2870	0.0520	0.0070	-0.2940	-0.1250	0.2630
YKL180W	-0.4880	0.3350	0.4690	0.7910	0.6890	0.9300	0.5030	0.7320	0.4460	0.6420	0.5260	0.4690	0.0510	0.2220
YDL080C	0.0740	0.4480	0.3590	0.4540	0.1890	0.1440	0.4300	0.1650	0.0770	-0.0340	0.2430	-0.0170	-0.0230	0.2970
YPL131W	-0.8320	-0.5540	-0.3030	0.3450	0.3940	0.3040	0.0640	0.5560	0.7790	0.4130	-0.3450	0.3130	-0.0840	-0.0910
YDR359C	-0.1457	-0.0373	0.0963	0.1817	0.1743	-0.0067	0.0223	-0.1207	0.1260	0.1460	-0.0943	0.3970	0.4180	0.1710
YER104W	0.0070	-0.0580	-0.1400	0.3440	0.3910	-0.1430	0.1630	-0.1490	-0.2220	-0.5110	0.0620	-0.2080	-0.1940	-0.0650
YBL056W	0.4550	-0.1410	-0.3070	-0.2780	-0.4015	-0.2875	-0.2100	-0.0365	-0.1360	-0.2200	-0.4075	0.3475	0.0420	-0.0675
YBR194W	0.4770	-0.1615	-0.4280	0.0865	0.0125	0.0535	0.1310	-0.0410	-0.1950	-0.3460	-0.0175	-0.3145	0.0635	-0.0740
YML034W	-0.2470	-0.3840	-0.0280	-1.0420	-0.7450	-0.2220	-0.1200	0.2080	0.2900	0.4540	1.1810	0.5900	0.5000	0.3390
YOL112W	-0.6500	-0.5540	-0.4900	-0.1570	-0.1500	0.0670	-0.0880	0.2070	0.2550	0.1350	0.2290	0.1670	-0.1260	-0.2100
YHR061C	-0.8270	-0.8090	-0.3590	-0.8370	-0.0570	0.0140	0.3930	0.2960	0.1750	-0.1670	0.2370	-0.0540	-0.5040	-0.4780
YKL123W	0.6960	0.4970	0.0050	-0.1230	0.1440	-0.0480	0.0920	-0.0830	-0.1930	-0.5030	0.2320	-0.2140	-0.1780	-0.2080
YNL202W	0.2670	-0.2650	-0.0120	-0.1650	-0.5080	-0.3250	-0.2590	-0.0660	-0.0640	0.0890	0.0030	0.1620	0.8010	0.5000
YEL043W	-0.1960	0.4180	-0.1550	0.1180	0.0200	0.0920	-0.0420	0.0300	0.1940	-0.0130	-0.1950	0.4130	-0.0260	0.1470
YFL046W	0.0030	-0.0580	0.0860	0.4710	0.2990	0.4340	0.4240	-0.3810	-0.0050	0.1450	0.5690	-0.7340	-0.5410	-0.0420
YJL016W	0.0210	-0.0280	0.0950	-0.0230	-0.2600	-0.1960	-0.2130	-0.3900	-0.5120	-0.5660	-0.2880	-0.2180	-0.3460	-0.4590
YIR032C	-0.7815	-0.4720	-0.4055	0.1450	-0.2235	-0.4725	-0.2395	-0.2350	-0.3855	-0.1945	-0.4140	-0.2000	0.0220	-0.0345
YKR059W	-0.1150	0.2230	0.4240	0.4410	0.9280	1.1240	0.9010	0.5130	0.3030	0.4530	0.6710	0.1880	-0.4150	0.0940
YOL038W	0.8260	0.8570	-0.1840	-0.2840	-0.2870	-0.2910	-0.5510	-0.0380	-0.0750	-0.3540	0.1720	-0.0070	-0.0840	-0.3410
YIL126W	-0.2295	-0.0670	-0.4515	-0.7030	-0.1825	-0.2890	-0.2085	-0.8320	0.1670	-1.1940	-0.0375	0.1860	-0.6055	-0.5210
YOR268C	0.1840	-0.6660	-1.3940	-3.5170	-0.7710	0.4680	0.3950	-0.8210	-0.1230	-0.5950	0.0000	-0.3010	1.4420	0.1430
YHR131C	0.0940	-0.1160	-0.2140	-0.0090	-0.2380	-0.1680	-0.3980	-0.2090	0.1000	0.1350	-0.1160	0.1780	0.2660	0.1300
YLL058W	0.0850	-0.2030	-0.3990	-0.0610	0.1120	-0.0530	0.3340	0.0930	0.0370	-0.0980	-0.2090	-0.0780	-0.3100	-0.1570
YBL023C	-1.4085	-0.1830	-0.1000	0.2675	0.3255	0.5605	0.4705	0.3375	0.2685	0.4270	0.1750	0.5940	0.4445	0.7275
YDR378C	0.1170	0.4590	0.4420	-0.0900	-0.0330	0.3470	0.0560	-0.0990	-0.0510	0.0760	0.3960	-0.2630	-0.1000	0.2020
YOL103W	-0.9760	-0.6030	-0.3630	0.0760	0.2230	-0.1480	0.1940	0.1490	-0.1350	-0.2050	-0.1740	-0.1700	-0.4990	-0.4000
YIL077C	1.4210	-0.4060	-0.0600	-0.4040	-0.3820	-0.5280	-0.6580	0.0540	0.1310	-0.0930	-0.3580	0.2670	0.3910	0.4050
YCR086W	-0.4300	-0.1320	-0.0340	-0.3100	0.2330	0.1960	0.3790	0.3190	-0.0720	-0.2120	-0.1140	-0.1650	-0.2520	-0.2360
YNL185C	-0.0460	-0.3520	-0.5030	-0.0910	0.0450	0.0890	0.0670	0.3340	0.3300	0.2900	0.3350	0.3650	0.3760	-0.0330
YNL242W	0.6980	0.0470	-0.2490	0.0150	-0.3430	-0.3300	-0.0750	-2.3320	-0.0460	-0.0170	0.0810	-0.0910	0.3930	-0.0500
YJL185C	0.4470	0.0280	0.2080	-0.0730	-0.3040	-0.3150	-0.1850	0.0020	-0.0890	-0.3550	-0.0710	-0.2990	0.0240	-0.0650
YNL190W	0.2830	0.2290	0.0840	0.7170	0.1830	0.4610	0.3760	0.3940	0.6690	0.6070	0.3210	0.5310	0.4110	0.1610
YIR042C	0.3450	-0.5030	-0.2640	-0.4750	-0.2510	0.0150	0.0830	0.1530	-0.0880	-0.2260	0.2250	0.4900	-0.0600	-0.0850
YEL060C	1.9090	1.4330	0.6570	0.5290	0.2790	0.0430	-0.1220	0.2680	0.4300	-0.0450	0.2970	0.4640	0.6540	0.5920
YGL128C	0.4210	0.3980	-0.0850	0.4760	-0.2730	-0.1280	0.1210	-0.1230	-0.3760	0.0220	0.0630	-0.1900	-0.3350	0.0400
YDR330W	0.9860	0.7600	0.2870	0.1660	-0.2430	-0.2770	-0.0440	0.1880	0.1450	0.0810	-0.1490	0.2180	0.2940	0.7600
YLR012C	-0.5620	-2.4590	-0.9230	-0.7780	-0.3460	-0.4220	-0.6250	-0.6760	-0.0030	-0.5580	-0.1060	-0.9480	-0.4410	-1.7980
YHR088W	-0.0710	-0.0980	0.0710	0.3180	0.8790	0.5150	0.2290	-0.2230	-0.2180	-0.4210	-0.0810	-1.1050	-0.7840	-0.6730
YOL053W	0.6110	-0.2830	-0.3130	-0.0270	-0.0870	-0.3450	-0.2740	-0.0230	-0.0730	-0.3630	-0.4190	-0.0600	-0.1860	-0.1230
YAL048C	0.4540	0.3850	-0.2830	0.1190	-0.4045	-0.1432	0.1800	0.1440	0.0455	0.0785	-0.1785	-0.3075	-0.9295	-0.2080
