ORF,T0.0,T0.5,T1.0,T1.5,T2.0,T2.5,T3.0,T3.5,T4.0,T4.5,T5.0,T5.5,T6.0,T6.5
YIL147C,-0.454,-0.084,0.23,0.402,0.16,0.36,0.674,-0.058,0.4,0.39,0.154,0.371,-0.539,0.041
YGL220W,0.199,-0.066,-0.071,-0.13,-0.049,0.092,-0.163,0.132,-0.218,-0.07,-0.031,0.085,0.023,0.38
YGR216C,-0.952,-0.217,-0.201,-0.129,-0.09,-0.408,-0.18,0.136,0.282,0.158,-0.257,0.01,-0.05,-0.202
YDR100W,0.708,0.453,0.523,-0.112,0.444,0.443,0.573,0.149,0.106,0.39,0.394,0.061,0.043,0.252
YOR383C,1.599,1.681,1.183,0.624,-0.0175,-0.304,-0.4875,-0.32,-0.406,-0.344,-0.956,-0.2235,-0.3945,-0.6095
YER113C,0.006,0.352,0.38,0.498,0.49,0.583,0.453,0.031,-0.043,0.106,0.332,0.03,-0.157,0.302
YGL242C,0.185,-0.036,-0.126,-0.162,0.056,0.083,0.132,-0.248,-0.124,-0.397,0.043,-0.124,-0.507,0.095
YOR085W,0.269,-0.243,-0.462,-0.334,-0.236,-0.423,0.118,-0.023,-0.116,-0.292,-0.466,-0.003,-0.285,-0.234
YOL067C,0.793,0.227,-0.361,-0.318,-0.019,-0.234,-0.025,-0.033,0.069,-0.175,-0.283,0.043,0.16,-0.062
YGL026C,-0.8375,0.159,-0.2225,0.026,-0.2725,-0.1455,-0.161,0.4375,0.506,0.55,0.1065,0.618,0.318,0.635
YOR062C,-0.4035,-0.5223,-0.533,-0.183,-0.1575,-0.8365,-0.237,-0.2545,-0.3045,-0.3785,-1.16,-0.2235,-0.9965,-0.6205
YER136W,0.548,0.523,0.36,0.312,0.066,0.211,0.177,-0.052,-0.055,-0.282,0.295,-0.142,-0.034,0.074
YOL159C,-0.039,-0.011,-0.965,-0.511,-0.567,-0.433,-0.718,-0.496,-0.144,-0.538,-0.384,-0.204,0.04,-0.276
YLR298C,0.596,-0.325,-0.633,-0.01,0.204,-0.055,-0.36,-0.311,-0.141,-0.521,0.136,0.105,-0.489,-0.265
YFL016C,1.026,0.297,0.419,-0.227,-0.25,-0.073,0.191,0.107,0.235,0.021,0.432,0.213,0.452,0.459
YIL055C,0.1525,0.124,-0.128,-0.0395,-0.577,-0.526,-0.756,-0.1385,0.122,0.2895,-0.523,0.036,-0.1585,0.275
YOR045W,-0.301,-0.663,-0.107,-0.473,-0.245,0.137,0.21,0.226,0.148,0.094,0.107,0.302,-0.05,-0.078
YDL029W,0.748,0.15,0.158,0.33,-0.193,-0.3,-0.209,0.271,-0.122,-0.121,-0.08,-0.053,0.019,0.022
YGL176C,0.323,0.325,0.209,0.084,0.12,0.297,0.464,-0.056,-0.333,-0.176,0.177,-0.347,-0.703,-0.188
YGR012W,0.347,0.066,0.27,0.632,0.152,0.293,0.109,0.429,0.19,0.117,0.271,0.113,0.231,0.333
YPR185W,-0.068,0.096,-0.022,0.556,-0.032,0.265,0.187,0.382,0.263,0.163,0.235,0.211,0.165,0.335
YLR087C,0.3196,0.266,-0.672,-0.07,-0.482,-0.5199,-0.9545,-0.463,-0.1085,-0.4245,-0.4225,0.0753,-0.256,-0.459
YOL085C,-0.112,-0.195,-0.756,-0.351,-0.788,-1.732,-0.985,-0.818,-0.871,-0.974,-0.825,-0.62,0.447,-0.442
YDR089W,-0.987,-0.357,-0.18,0.012,0.053,0.029,0.093,-0.191,-0.303,-0.486,-0.179,-0.222,-0.775,-0.623
YHL003C,-0.268,-0.116,0.107,0.38,-0.235,0.42,0.35,0.28,0.066,0.072,0.368,0.241,-0.165,0.028
