ID	KO1	KO2	KO3	WT1	WT2	WT3
1415670_at	12.673088192909363	12.441595521802228	12.736063627871813	12.916644580846926	12.81201681883083	12.882623945752298
1415671_at	13.487626527289752	13.363956770032638	13.377400346195797	13.345432969261601	13.211356004895151	12.901281749491755
1415672_at	13.807676916265143	13.723458304471327	13.818252620627007	13.65917087727627	13.756733521292414	13.697586622426691
1415673_at	11.624247145836197	11.116018993325094	11.672602132001849	11.213225755806494	11.104467712641359	11.302239071656384
1415674_a_at	11.966505451905741	11.69126370403889	11.883025068440173	11.876747145492311	11.615169813843602	11.50754690343482
1415675_at	11.760054574438314	11.70882524188187	11.702562316281147	11.585666769732402	11.572700226487292	11.50898318485542
1415676_a_at	13.508946057652448	13.530552647635261	13.560798529792072	13.572439703204775	13.61059810604544	13.47937609116166
1415677_at	11.7553048882624	11.652576122790146	11.833917884513845	12.15272848521588	11.932325497081157	11.82924704292121
1415678_at	12.849424649528608	12.876670416597683	12.892523843680017	12.759076751113934	12.905029671851002	12.970429489795285
1415679_at	13.674832244847178	13.772922786231616	13.728643322246953	13.68638015167105	13.846881110363256	13.782998208920414
1415680_at	12.010458172294243	12.224845813920957	12.237568498231305	12.207624468226758	12.169079424564991	12.129250813571247
1415681_at	12.537485361797145	12.456020657011441	12.504545912143984	12.404263450137943	12.322209843748894	12.101778747358932
1415682_at	11.391941672017191	11.464494698650752	11.459738978303458	11.380244590478185	11.055146837489822	11.260743154294644
1415683_at	13.170285004112472	13.233544784084891	13.185618808547458	13.063513053863133	13.03440350816981	13.014944531632105
1415684_at	11.180219982170192	11.143957116420337	11.004852472722618	10.879353502810659	11.041796023231727	10.957319735656338
1415685_at	12.050868963290736	12.084409798206332	12.028078722704887	11.781769511863132	11.897656411251145	11.947490834853735
1415686_at	12.50786895293315	12.506332377983126	12.633313136454655	12.536222927688382	12.618752553536732	12.66746640495737
1415687_a_at	14.427070541124596	14.443921284715708	14.52564926587544	14.493104892539135	14.302795978237928	14.314271674601155
1415688_at	13.200821994304237	13.159824044863388	13.097521915826356	13.147459346076984	12.970609235760767	12.871366243428477
1415689_s_at	11.296227952891096	11.42106546951862	11.2350568627071	11.071462362556623	11.229539857739535	11.327215788795229
1415690_at	13.034231537655028	13.035503634313228	13.12551033574353	12.816523710904862	12.728366974428205	12.85447883417163
1415691_at	12.850284524956026	12.959567319912093	12.83658298055181	12.903373499844001	13.007623009173711	12.903938317557886
1415692_s_at	14.17819798458498	14.208241980334874	14.154731101793363	14.24378390502994	14.30414451484752	13.825276830054866
1415693_at	11.689604931948322	11.572463389083676	11.80481670317045	11.802152818329587	11.61783475018439	11.516241732587925
1415694_at	10.926666629347283	10.847292293578361	11.11041805754724	11.066694672308998	10.820178962415188	10.843921051289035
1415695_at	13.834954895845685	13.731594814010348	13.884847816104077	13.581541910312028	13.687659994953043	13.622177683615696
1415696_at	13.521379602152937	13.589791570735738	13.647548367232412	13.565625733987972	13.526230237017796	13.566803264663376
1415697_at	12.069248353409602	12.142585748356288	11.968234783896909	12.273008777946966	12.18357335541758	11.9450414058779
1415698_at	11.332316330199218	11.307599288646419	11.154501693864765	11.396658292616774	11.495305419252693	11.542548262335213
1415699_a_at	12.843155544824251	13.047839627649633	12.997073604128918	13.134699045950457	13.287409381774983	13.072115851921332
1415700_a_at	14.422583864228054	14.362115056196458	14.51638333050875	14.33098688296898	14.492754499071207	14.568846792885811
